Feature,Importance
OverallQual,0.33336333841585775
GrLivArea,0.14938288614343032
TotalBsmtSF,0.0669083131720154
YearBuilt,0.06279899968875272
YearRemodAdd,0.053592347311593375
GarageArea,0.053323200186787316
1stFlrSF,0.049422671433795785
KitchenQual,0.037792228729727324
BsmtFinSF1,0.0338790042358824
2ndFlrSF,0.026765236536592053
LotArea,0.019235802587051015
MasVnrArea,0.01870423685168458
GarageFinish,0.01787192694873455
GarageYrBlt,0.01393043315100811
LotFrontage,0.011486076165297813
BedroomAbvGr,0.01072489888176853
OverallCond,0.010032601419471187
OpenPorchSF,0.010026787752050563
BsmtExposure,0.0076671593721264536
BsmtUnfSF,0.00694456581662492
BsmtFinType1,0.006147285199747941
